"uniq_id","crawl_timestamp","product_url","product_name","product_category_tree","pid","retail_price","discounted_price","image","is_FK_Advantage_product","description","product_rating","overall_rating","brand","product_specifications"
"dee64864c0419bec80fbbb94d19bc40d","2016-03-03 07:19:26 +0000","http://www.flipkart.com/angelfish-silk-potali-potli/p/itmegfyaw849dw9b?pid=PPSEGFYAGD8FYUXV","Angelfish Silk Potali Potli","[""Bags, Wallets & Belts >> Bags >> Pouches and Potlis >> Angelfish Pouches and Potlis >> Angelfish Silk Potali Potli (Multicolor)""]","PPSEGFYAGD8FYUXV","999","399","[""http://img6a.flixcart.com/image/pouch-potli/u/x/v/aelkabj01224-a-angelfish-potli-silk-potali-original-imaeeprygdj223es.jpeg"", ""http://img5a.flixcart.com/image/pouch-potli/u/x/v/aelkabj01224-a-angelfish-potli-silk-potali-original-imaeepryxh8xez64.jpeg"", ""http://img6a.flixcart.com/image/pouch-potli/u/x/v/aelkabj01224-a-angelfish-potli-silk-potali-original-imaeeprypmwscfp9.jpeg""]","false","Angelfish Silk Potali Potli (Multicolor) Price: Rs. 399 Made by silk Fabric with fancy lace adnored and stylish handle also.(set of 2 piece),Specifications of Angelfish Silk Potali Potli (Multicolor) General Closure Velcro Type Potli Material Fabric Style Code AELKABJ01224-A Ideal For Girls Bag Size Small Occasion Party Color Code Multicolor Dimensions Weight 200 g Body Features Number of Compartments 1","No rating available","No rating available","Angelfish","{""product_specification""=>[{""key""=>""Closure"", ""value""=>""Velcro""}, {""key""=>""Type"", ""value""=>""Potli""}, {""key""=>""Material"", ""value""=>""Fabric""}, {""key""=>""Style Code"", ""value""=>""AELKABJ01224-A""}, {""key""=>""Ideal For"", ""value""=>""Girls""}, {""key""=>""Bag Size"", ""value""=>""Small""}, {""key""=>""Occasion"", ""value""=>""Party""}, {""key""=>""Color Code"", ""value""=>""Multicolor""}, {""key""=>""Weight"", ""value""=>""200 g""}, {""key""=>""Number of Compartments"", ""value""=>""1""}]}"
"eac973d171ddd206513dbaec3ef33b86","2016-01-01 21:23:25 +0000","http://www.flipkart.com/rr-rainbow-grand-dlx-30-l-backpack/p/itmecsxkkhrrztyf?pid=BKPECSXKNFNASYRN","Rr Rainbow Grand Dlx 30 L Backpack","[""Bags, Wallets & Belts >> Bags >> Backpacks >> Rr Rainbow Backpacks""]","BKPECSXKNFNASYRN","1040","728","[""http://img5a.flixcart.com/image/backpack/y/r/n/rbbp00104-mb-rr-rainbow-backpack-grand-dlx-original-imaecsv6hyzh7yqz.jpeg"", ""http://img6a.flixcart.com/image/backpack/y/r/n/rbbp00104-mb-rr-rainbow-backpack-grand-dlx-original-imaecsv6hyzh7yqz.jpeg"", ""http://img5a.flixcart.com/image/backpack/y/r/n/rbbp00104-mb-rr-rainbow-backpack-grand-dlx-original-imaecsv7vywuv4pz.jpeg"", ""http://img5a.flixcart.com/image/backpack/y/r/n/rbbp00104-mb-rr-rainbow-backpack-grand-dlx-original-imaecsv7vwdpdhee.jpeg"", ""http://img6a.flixcart.com/image/backpack/y/r/n/rbbp00104-mb-rr-rainbow-backpack-grand-dlx-original-imaecsv7nyj4dbaw.jpeg"", ""http://img5a.flixcart.com/image/backpack/y/r/n/rbbp00104-mb-rr-rainbow-backpack-grand-dlx-original-imaecsv8yywfdanw.jpeg""]","false","Flipkart.com: Buy Rr Rainbow Grand Dlx 30 L Backpack for Rs. 728 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!","No rating available","No rating available","","{""product_specification""=>[{""key""=>""Type"", ""value""=>""Backpack""}, {""key""=>""Trolley Support"", ""value""=>""No""}, {""key""=>""Material"", ""value""=>""Polyester""}, {""key""=>""Laptop Sleeve"", ""value""=>""No""}, {""key""=>""Compatible Laptop Size"", ""value""=>""No""}, {""key""=>""Style Code"", ""value""=>""RBBP00104-MB""}, {""key""=>""Ideal For"", ""value""=>""Boys, Girls""}, {""key""=>""Capacity"", ""value""=>""30 L""}, {""key""=>""Color Code"", ""value""=>""Mehandi, Black""}, {""key""=>""Weight"", ""value""=>""845 g""}, {""value""=>""Rr Rainbow Tracking Backpack""}, {""key""=>""Number of Compartments"", ""value""=>""2""}]}"
"7e8c707783eafee49c11f1c7dfc8b046","2016-01-01 03:13:55 +0000","http://www.flipkart.com/alessia74-hand-held-bag/p/itmdrucnjsjqrrgc?pid=HMBDRUCNJSJQRRGC","Alessia74 Hand-held Bag","[""Bags, Wallets & Belts >> Bags >> Hand Bags >> Alessia74 Hand Bags""]","HMBDRUCNJSJQRRGC","999","649","[""http://img6a.flixcart.com/image/hand-messenger-bag/r/g/c/pbg320d-alessia-74-hand-bag-original-imadsavdtwbtyryz.jpeg"", ""http://img5a.flixcart.com/image/hand-messenger-bag/r/g/c/pbg320d-alessia-74-hand-bag-original-imadsavdtwbtyryz.jpeg"", ""http://img6a.flixcart.com/image/hand-messenger-bag/r/g/c/pbg320d-alessia-74-hand-bag-original-imadsavdqauyxnpm.jpeg"", ""http://img5a.flixcart.com/image/hand-messenger-bag/r/g/c/pbg320d-alessia-74-hand-bag-original-imadsavd5kj2v8cz.jpeg"", ""http://img6a.flixcart.com/image/hand-messenger-bag/r/g/c/pbg320d-alessia-74-hand-bag-original-imadsavdzhqh3szz.jpeg""]","false","Flipkart.com: Buy Alessia74 Hand-held Bag for Rs. 649 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!","No rating available","No rating available","","{""product_specification""=>[{""key""=>""Type"", ""value""=>""Hand-held Bag""}, {""key""=>""Material"", ""value""=>""PU""}, {""key""=>""Style Code"", ""value""=>""PBG320D""}, {""key""=>""Occasion"", ""value""=>""Casual""}, {""key""=>""Bag Size"", ""value""=>""Free Size""}, {""key""=>""Ideal For"", ""value""=>""Women""}, {""key""=>""Color Code"", ""value""=>""Red""}, {""key""=>""Height"", ""value""=>""254 mm""}, {""key""=>""Width"", ""value""=>""279.4 mm""}, {""key""=>""Depth"", ""value""=>""228.6 mm""}, {""key""=>""Number of Pockets"", ""value""=>""3""}, {""key""=>""Number of Compartments"", ""value""=>""1""}]}"
"bc17c1ed648c11cb82c54bfbe3eea930","2016-06-12 21:53:42 +0000","http://www.flipkart.com/x-well-shoulder-bag/p/itmejh7dmwe7gd74?pid=HMBEJH7DSUDXCGK8","X-WELL Shoulder Bag","[""Bags, Wallets & Belts >> Bags >> Hand Bags >> X-WELL Hand Bags >> X-WELL Shoulder Bag (Blue)""]","HMBEJH7DSUDXCGK8","899","299","[""http://img5a.flixcart.com/image/hand-messenger-bag/g/k/8/bn-13-a-x-well-shoulder-bag-shoulder-bag-original-imaejgv5dhggj7ag.jpeg"", ""http://img6a.flixcart.com/image/hand-messenger-bag/g/k/8/bn-13-a-x-well-shoulder-bag-shoulder-bag-original-imaejgv5pqyfnpzz.jpeg"", ""http://img5a.flixcart.com/image/hand-messenger-bag/g/k/8/bn-13-a-x-well-shoulder-bag-shoulder-bag-original-imaejgv5y4hhamsp.jpeg"", ""http://img5a.flixcart.com/image/hand-messenger-bag/g/k/8/bn-13-a-x-well-shoulder-bag-shoulder-bag-original-imaejgv5yqspchpp.jpeg"", ""http://img6a.flixcart.com/image/hand-messenger-bag/g/k/8/bn-13-a-x-well-shoulder-bag-shoulder-bag-original-imaejgv5gps3a3rw.jpeg""]","false","Key Features of X-WELL Shoulder Bag Ideal For: Girls Material: Denim Closure: Zip,Specifications of X-WELL Shoulder Bag (Blue) General Closure Zip Type Shoulder Bag Material Denim Style Code BN-13-A Occasion Formal Bag Size Medium Ideal For Girls Color Code Blue Dimensions Weight 400 g Height 279 mm Width 102 mm Depth 355 mm Body Features Number of Pockets 2 Number of Compartments 2","No rating available","No rating available","X-WELL","{""product_specification""=>[{""key""=>""Closure"", ""value""=>""Zip""}, {""key""=>""Type"", ""value""=>""Shoulder Bag""}, {""key""=>""Material"", ""value""=>""Denim""}, {""key""=>""Style Code"", ""value""=>""BN-13-A""}, {""key""=>""Occasion"", ""value""=>""Formal""}, {""key""=>""Bag Size"", ""value""=>""Medium""}, {""key""=>""Ideal For"", ""value""=>""Girls""}, {""key""=>""Color Code"", ""value""=>""Blue""}, {""key""=>""Weight"", ""value""=>""400 g""}, {""key""=>""Height"", ""value""=>""279 mm""}, {""key""=>""Width"", ""value""=>""102 mm""}, {""key""=>""Depth"", ""value""=>""355 mm""}, {""key""=>""Number of Pockets"", ""value""=>""2""}, {""key""=>""Number of Compartments"", ""value""=>""2""}]}"
"cecd2c2b853a9e85517943eab6c2251d","2016-04-01 23:18:06 +0000","http://www.flipkart.com/mast-harbour-shoulder-bag/p/itmehban4r6tg7gc?pid=HMBEHBANHWHNQF8B","Mast & Harbour Shoulder Bag","[""Bags, Wallets & Belts >> Bags >> Hand Bags >> Mast & Harbour Hand Bags >> Mast & Harbour Shoulder Bag (Beige)""]","HMBEHBANHWHNQF8B","2099","2099","[""http://img5a.flixcart.com/image/hand-messenger-bag/f/8/b/1186419-mast-harbour-shoulder-bag-premium-original-imaehaybhxxnfghz.jpeg"", ""http://img6a.flixcart.com/image/hand-messenger-bag/f/8/b/1186419-mast-harbour-shoulder-bag-premium-original-imaehaybjvecbhef.jpeg"", ""http://img5a.flixcart.com/image/hand-messenger-bag/f/8/b/1186419-mast-harbour-shoulder-bag-premium-original-imaehaybdfk3pqgh.jpeg"", ""http://img6a.flixcart.com/image/hand-messenger-bag/f/8/b/1186419-mast-harbour-shoulder-bag-premium-original-imaehaybzvsgyuw5.jpeg"", ""http://img6a.flixcart.com/image/hand-messenger-bag/f/8/b/1186419-mast-harbour-shoulder-bag-premium-original-imaehaybxedphuwg.jpeg""]","false","Key Features of Mast & Harbour Shoulder Bag Ideal For: Women Material: PU Closure: Zip,Mast & Harbour Shoulder Bag (Beige) Price: Rs. 2,099 Beige shoulder bag. Two short handles. One main zip compartment, has a zip pocket and two slip pockets. A slip pocket on the front and back secured with magnetic button closures. Stylish and spacious, this shoulder bag is a great addition to your accessory collection. Work it with a maxi skirt, a crop top and a pair of heels for a fashionable appeal.,Specifications of Mast & Harbour Shoulder Bag (Beige) General Closure Zip Type Shoulder Bag Material PU Style Code 1186419 Occasion Casual Ideal For Women Color Code Beige","No rating available","No rating available","Mast & Harbour","{""product_specification""=>[{""key""=>""Closure"", ""value""=>""Zip""}, {""key""=>""Type"", ""value""=>""Shoulder Bag""}, {""key""=>""Material"", ""value""=>""PU""}, {""key""=>""Style Code"", ""value""=>""1186419""}, {""key""=>""Occasion"", ""value""=>""Casual""}, {""key""=>""Ideal For"", ""value""=>""Women""}, {""key""=>""Color Code"", ""value""=>""Beige""}]}"
"16bfc69e1eba89c7f89b9bf59f22db13","2016-04-01 23:18:06 +0000","http://www.flipkart.com/dolphin-product-shoulder-bag/p/itmegwtffsnvhqmn?pid=HMBEGWTFEV4TF2RH","Dolphin Product Shoulder Bag","[""Bags, Wallets & Belts >> Bags >> Hand Bags >> Dolphin Product Hand Bags >> Dolphin Product Shoulder Bag (blue)""]","HMBEGWTFEV4TF2RH","999","399","[""http://img6a.flixcart.com/image/hand-messenger-bag/s/k/9/1-blue-fashion-360-shoulder-bag-fashion-jute-purse-original-imaegvfsdprqzcte.jpeg"", ""http://img5a.flixcart.com/image/hand-messenger-bag/s/k/9/1-blue-fashion-360-shoulder-bag-fashion-jute-purse-original-imaegvfsdprqzcte.jpeg"", ""http://img6a.flixcart.com/image/hand-messenger-bag/s/k/9/1-blue-fashion-360-shoulder-bag-fashion-jute-purse-original-imaegvfsfpgzyybz.jpeg"", ""http://img6a.flixcart.com/image/hand-messenger-bag/s/k/9/1-blue-fashion-360-shoulder-bag-fashion-jute-purse-original-imaegtqu4egvxjkw.jpeg"", ""http://img6a.flixcart.com/image/hand-messenger-bag/s/k/9/1-blue-fashion-360-shoulder-bag-fashion-jute-purse-original-imaegvfsnzyqzhfh.jpeg"", ""http://img6a.flixcart.com/image/hand-messenger-bag/s/k/9/1-blue-fashion-360-shoulder-bag-fashion-jute-purse-original-imaegvfs2d7wgrgh.jpeg""]","false","Specifications of Dolphin Product Shoulder Bag (blue) General Closure Zip Type Shoulder Bag Material Jute Style Code 1Bl Occasion Casual Bag Size Medium Ideal For Women Color Code blue Dimensions Weight 150 g Height 380 mm Width 350 mm Depth 70 mm Additional Features Jute Body Features Number of Pockets 2 Number of Compartments 2 In the Box 1 Fashion 360 Jute bag","No rating available","No rating available","Dolphin Product","{""product_specification""=>[{""key""=>""Closure"", ""value""=>""Zip""}, {""key""=>""Type"", ""value""=>""Shoulder Bag""}, {""key""=>""Material"", ""value""=>""Jute""}, {""key""=>""Style Code"", ""value""=>""1Bl""}, {""key""=>""Occasion"", ""value""=>""Casual""}, {""key""=>""Bag Size"", ""value""=>""Medium""}, {""key""=>""Ideal For"", ""value""=>""Women""}, {""key""=>""Color Code"", ""value""=>""blue""}, {""key""=>""Weight"", ""value""=>""150 g""}, {""key""=>""Height"", ""value""=>""380 mm""}, {""key""=>""Width"", ""value""=>""350 mm""}, {""key""=>""Depth"", ""value""=>""70 mm""}, {""value""=>""Jute""}, {""key""=>""Number of Pockets"", ""value""=>""2""}, {""key""=>""Number of Compartments"", ""value""=>""2""}, {""value""=>""1 Fashion 360 Jute bag""}]}"
"02171a31bbce176605b2aeafc0985537","2016-04-30 06:44:11 +0000","http://www.flipkart.com/ybc-women-pink-pu-sling-bag/p/itmeg67vpgbmhzzc?pid=SLBEG67VYSJW2YXC","YBC Women Pink PU Sling Bag","[""Bags, Wallets & Belts >> Bags >> Sling Bags >> YBC Sling Bags >> YBC Women Pink PU Sling Bag""]","SLBEG67VYSJW2YXC","1199","899","[""http://img5a.flixcart.com/image/sling-bag/y/x/c/asc0017pink-ybc-sling-bag-asc0017-pink-original-imaeg69ga8beu2su.jpeg"", ""http://img5a.flixcart.com/image/sling-bag/y/x/c/asc0017pink-ybc-sling-bag-asc0017-pink-original-imaeg69gcguqjjwy.jpeg"", ""http://img5a.flixcart.com/image/sling-bag/y/x/c/asc0017pink-ybc-sling-bag-asc0017-pink-original-imaeg69g4nzeupfx.jpeg""]","false","Key Features of YBC Women Pink PU Sling Bag Light Weight Sleek Model,YBC Women Pink PU Sling Bag Price: Rs. 899 Thi sling bag for women by ybc is perfect pick for everyday use crafted from PU (polyurethane), this bags are sleek, trendy and will serve you for years to come, which will enhance your overall appearance. Featuring multiple slots, pockets, detachable chain sling and a stylish pattern, it can be teamed with casual or formal outfits.,Specifications of YBC Women Pink PU Sling Bag General Closure Zipper Type Sling Bag Material PU Style Code ASC0017PINK Bag Size Medium Ideal For Women Color Code Pink Dimensions Weight 275 g Body Features Pattern Solid Other Body Features Durable Number of Compartments 5 In the Box 1 YBC PU Sling Bag","No rating available","No rating available","YBC","{""product_specification""=>[{""key""=>""Closure"", ""value""=>""Zipper""}, {""key""=>""Type"", ""value""=>""Sling Bag""}, {""key""=>""Material"", ""value""=>""PU""}, {""key""=>""Style Code"", ""value""=>""ASC0017PINK""}, {""key""=>""Bag Size"", ""value""=>""Medium""}, {""key""=>""Ideal For"", ""value""=>""Women""}, {""key""=>""Color Code"", ""value""=>""Pink""}, {""key""=>""Weight"", ""value""=>""275 g""}, {""key""=>""Pattern"", ""value""=>""Solid""}, {""key""=>""Other Body Features"", ""value""=>""Durable""}, {""key""=>""Number of Compartments"", ""value""=>""5""}, {""value""=>""1 YBC PU Sling Bag""}]}"
"a245bd51230fbf2eec51a563494751a5","2016-04-30 06:44:11 +0000","http://www.flipkart.com/ligans-ny-women-beige-pu-sling-bag/p/itmeg68tz6hyrtve?pid=SLBEG68TKWYVGNKT","Ligans NY Women Beige PU Sling Bag","[""Bags, Wallets & Belts >> Bags >> Sling Bags >> Ligans NY Sling Bags >> Ligans NY Women Beige PU Sling Bag""]","SLBEG68TKWYVGNKT","1895","1295","[""http://img5a.flixcart.com/image/sling-bag/n/k/t/lny-lb-mo-7147-ligans-ny-sling-bag-easton-mo-original-imae3vx6zvhgughx.jpeg"", ""http://img6a.flixcart.com/image/sling-bag/n/k/t/lny-lb-mo-7147-ligans-ny-sling-bag-easton-mo-original-imae3vx6zvhgughx.jpeg"", ""http://img6a.flixcart.com/image/sling-bag/n/k/t/lny-lb-mo-7147-ligans-ny-sling-bag-easton-mo-original-imae3vx6pjvgwm8g.jpeg"", ""http://img6a.flixcart.com/image/sling-bag/n/k/t/lny-lb-mo-7147-ligans-ny-sling-bag-easton-mo-original-imae3vx6ejcuanuk.jpeg"", ""http://img5a.flixcart.com/image/sling-bag/n/k/t/lny-lb-mo-7147-ligans-ny-sling-bag-easton-mo-original-imae3vx6prwfyk54.jpeg""]","false","Key Features of Ligans NY Women Beige PU Sling Bag Size: Small No of Compartments: 1 Closure: Zip,Ligans NY Women Beige PU Sling Bag Price: Rs. 1,295 Classy and appealing, this beige coloured sling bag from Ligans NY is ideal for women who have an eye for stylish accessories. Featuring a front fring and a chain sling, this bag will certainly impress everyone aound.  Made from PU (polyurethane), this sling bag is durable and lightweight and thus, worthwhile. ,Specifications of Ligans NY Women Beige PU Sling Bag General Closure Zip Type Sling Bag Material PU Style Code LNY LB-MO -7147 Bag Size Small Ideal For Women Color Code Beige Dimensions Weight 450 g Height 210 mm Width 330 mm Depth 110 mm Body Features Pattern Crock Print Number of Compartments 1 In the Box Sling Bag","No rating available","No rating available","Ligans NY","{""product_specification""=>[{""key""=>""Closure"", ""value""=>""Zip""}, {""key""=>""Type"", ""value""=>""Sling Bag""}, {""key""=>""Material"", ""value""=>""PU""}, {""key""=>""Style Code"", ""value""=>""LNY LB-MO -7147""}, {""key""=>""Bag Size"", ""value""=>""Small""}, {""key""=>""Ideal For"", ""value""=>""Women""}, {""key""=>""Color Code"", ""value""=>""Beige""}, {""key""=>""Weight"", ""value""=>""450 g""}, {""key""=>""Height"", ""value""=>""210 mm""}, {""key""=>""Width"", ""value""=>""330 mm""}, {""key""=>""Depth"", ""value""=>""110 mm""}, {""key""=>""Pattern"", ""value""=>""Crock Print""}, {""key""=>""Number of Compartments"", ""value""=>""1""}, {""value""=>""Sling Bag""}]}"
"161babd429c73f706536ee721c6bdd06","2016-01-01 10:55:30 +0000","http://www.flipkart.com/glory-fashion-shoulder-bag/p/itmedcjhpz7g7hek?pid=HMBEDCJHGYJA5XFR","Glory Fashion Shoulder Bag","[""Bags, Wallets & Belts >> Bags >> Hand Bags >> Glory Fashion Hand Bags""]","HMBEDCJHGYJA5XFR","1099","399","[""http://img6a.flixcart.com/image/hand-messenger-bag/x/f/r/bb-001-b052-glory-fashion-shoulder-bag-bb-001-b061-original-imaed5z6ewzbnuqu.jpeg"", ""http://img5a.flixcart.com/image/hand-messenger-bag/x/f/r/bb-001-b052-glory-fashion-shoulder-bag-bb-001-b061-original-imaed5z6ewzbnuqu.jpeg"", ""http://img5a.flixcart.com/image/hand-messenger-bag/x/f/r/bb-001-b052-glory-fashion-shoulder-bag-bb-001-b061-original-imaed5z64t52gxxv.jpeg"", ""http://img6a.flixcart.com/image/hand-messenger-bag/x/f/r/bb-001-b052-glory-fashion-shoulder-bag-bb-001-b061-original-imaed5z6mbkkgckq.jpeg"", ""http://img5a.flixcart.com/image/hand-messenger-bag/x/f/r/bb-001-b052-glory-fashion-shoulder-bag-bb-001-b061-original-imaed5z65ezzbfnq.jpeg"", ""http://img5a.flixcart.com/image/hand-messenger-bag/x/f/r/bb-001-b052-glory-fashion-shoulder-bag-bb-001-b061-original-imaed5z6d3cuysgw.jpeg""]","false","Flipkart.com: Buy Glory Fashion Shoulder Bag for Rs. 399 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!","No rating available","No rating available","","{""product_specification""=>[{""key""=>""Closure"", ""value""=>""Zip""}, {""key""=>""Type"", ""value""=>""Shoulder Bag""}, {""key""=>""Material"", ""value""=>""Artificial Leather""}, {""key""=>""Style Code"", ""value""=>""BB-001-B052""}, {""key""=>""Occasion"", ""value""=>""Casual, Evening/Party, Festive, Formal""}, {""key""=>""Ideal For"", ""value""=>""Women, Girls""}, {""key""=>""Color Code"", ""value""=>""Pink""}, {""value""=>""Product colour may slightly vary due to photographic lighting sources or your monitor settings""}, {""key""=>""Number of Pockets"", ""value""=>""2""}, {""key""=>""Number of Compartments"", ""value""=>""2""}, {""value""=>""1 Shoulder Bag""}]}"
"c7a7aa49f5cf4e9f0f38a697927ec088","2016-01-01 10:55:30 +0000","http://www.flipkart.com/idbc-global-shoulder-bag/p/itme7g34nfzp9suc?pid=HMBE7G34Z5CGHWYV","IDBC GLOBAL Shoulder Bag","[""Bags, Wallets & Belts >> Bags >> Hand Bags >> IDBC GLOBAL Hand Bags""]","HMBE7G34Z5CGHWYV","799","249","[""http://img5a.flixcart.com/image/hand-messenger-bag/w/y/v/idbc1012-idbc-shoulder-bag-handicraft-canvas-original-imae6pnqb5hffg8d.jpeg"", ""http://img6a.flixcart.com/image/hand-messenger-bag/w/y/v/idbc1012-idbc-shoulder-bag-handicraft-canvas-original-imae6pnqb5hffg8d.jpeg"", ""http://img5a.flixcart.com/image/hand-messenger-bag/w/y/v/idbc1012-idbc-shoulder-bag-handicraft-canvas-original-imae6pnrkyvkhmp6.jpeg"", ""http://img5a.flixcart.com/image/hand-messenger-bag/w/y/v/idbc1012-idbc-shoulder-bag-handicraft-canvas-original-imae6pnsaufzdmpq.jpeg"", ""http://img6a.flixcart.com/image/hand-messenger-bag/w/y/v/idbc1012-idbc-shoulder-bag-handicraft-canvas-original-imae6pntsqzefz2n.jpeg""]","false","Flipkart.com: Buy IDBC GLOBAL Shoulder Bag for Rs. 249 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!","No rating available","No rating available","","{""product_specification""=>[{""key""=>""Closure"", ""value""=>""Zip""}, {""key""=>""Type"", ""value""=>""Shoulder Bag""}, {""key""=>""Material"", ""value""=>""Canvas""}, {""key""=>""Series"", ""value""=>""Canvas Gujarati""}, {""key""=>""Style Code"", ""value""=>""IDBC1012""}, {""key""=>""Occasion"", ""value""=>""Casual""}, {""key""=>""Capacity"", ""value""=>""10 L""}, {""key""=>""Bag Size"", ""value""=>""Small""}, {""key""=>""Ideal For"", ""value""=>""Women""}, {""key""=>""Color Code"", ""value""=>""Purple-12""}, {""value""=>""No""}, {""key""=>""Weight"", ""value""=>""400 g""}, {""key""=>""Height"", ""value""=>""320 mm""}, {""key""=>""Width"", ""value""=>""320 mm""}, {""key""=>""Depth"", ""value""=>""130 mm""}, {""key""=>""Number of Pockets"", ""value""=>""1""}, {""key""=>""Other Body Features"", ""value""=>""Jhola Bags, Must For Girls/Women, Light Weight, Beautiful Embroidery Work, Various Colour Available, Small Pocket Inside For Keeping Mobile, Currency, Comestic Etc, Eco-Friendly""}, {""key""=>""Number of Compartments"", ""value""=>""2""}, {""key""=>""Bag Design"", ""value""=>""Beautiful Canvas Self Print K""}, {""value""=>""Shoulder Bag""}]}"
